type,question,score5,score4,score3,score2,score1

"EI","Dalam sebuah pertemuan sosial, apakah Anda merasa lebih berenergi saat berinteraksi dengan kelompok besar atau dalam percakapan satu lawan satu?","0.9|0.3","0.7|0.4","0.5|0.5","0.3|0.7","0.1|0.9"
"EI","Bagaimana Anda biasanya mengisi ulang energi setelah hari yang melelahkan?","0.1|0.9","0.3|0.7","0.5|0.5","0.7|0.3","0.9|0.1"
"EI","Ketika menghadapi tantangan, apakah Anda lebih suka berdiskusi dengan orang lain atau menyelesaikannya sendiri?","0.9|0.2","0.7|0.3","0.5|0.5","0.3|0.7","0.1|0.9"
"EI","Di waktu senggang, apakah Anda lebih suka menghadiri acara sosial atau menikmati aktivitas tenang di rumah?","0.9|0.2","0.7|0.3","0.5|0.5","0.3|0.7","0.1|0.9"
"EI","Bagaimana perasaan Anda tentang obrolan ringan (small talk)?","0.9|0.1","0.7|0.3","0.5|0.5","0.3|0.7","0.1|0.9"
"EI","Saat membuat keputusan, apakah Anda lebih mengandalkan perasaan pribadi atau pendapat orang lain?","0.1|0.9","0.3|0.7","0.5|0.5","0.7|0.3","0.9|0.1"
"EI","Bagaimana Anda menghadapi situasi yang baru dan asing?","0.9|0.2","0.7|0.3","0.5|0.5","0.3|0.7","0.1|0.9"
"EI","Dalam pengaturan kerja atau tim, apakah Anda lebih suka ruang terbuka dan kolaborasi atau ruang kerja individu?","0.9|0.2","0.7|0.3","0.5|0.5","0.3|0.7","0.1|0.9"
"EI","Bagaimana reaksi Anda saat menjadi pusat perhatian dalam suatu kelompok?","0.9|0.2","0.7|0.3","0.5|0.5","0.3|0.7","0.1|0.9"
"EI","Ketika merencanakan akhir pekan, apakah Anda cenderung memilih kegiatan sosial bersama teman atau waktu tenang untuk diri sendiri?","0.9|0.2","0.7|0.3","0.5|0.5","0.3|0.7","0.1|0.9"
"EI","Ketika bertemu orang baru, apakah Anda lebih cenderung memulai percakapan atau menunggu mereka yang memulai?","0.9|0.2","0.7|0.3","0.5|0.5","0.3|0.7","0.1|0.9"

"SN","Saat menghadapi masalah, saya lebih suka mengandalkan fakta konkret dan detail daripada mengeksplorasi kemungkinan dan makna yang tersembunyi.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"SN","Saya lebih suka belajar melalui pengalaman praktis langsung daripada teori dan konsep abstrak.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"SN","Dalam percakapan, saya lebih fokus pada detail saat ini daripada kemungkinan dan pola masa depan.","0.9|0.3","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"SN","Saat merencanakan perjalanan, saya lebih suka memiliki jadwal rinci dan terstruktur daripada ruang untuk spontanitas.","0.9|0.3","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"SN","Saya membuat keputusan berdasarkan pertimbangan praktis dan implikasi nyata dibandingkan dengan kemungkinan masa depan.","0.9|0.3","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"SN","Saat mengerjakan proyek, saya lebih fokus pada tugas-tugas spesifik daripada visi dan tujuan keseluruhan.","0.9|0.3","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"SN","Dalam diskusi kelompok, saya lebih suka berpegang pada fakta dan detail daripada menyumbangkan teori dan ide.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"SN","Saya lebih menyukai stabilitas dan cenderung kesulitan menghadapi perubahan mendadak dalam rencana.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"SN","Saat mengenang suatu peristiwa, saya lebih mengingat detail spesifik dan kejadian nyata daripada kesan dan makna secara keseluruhan.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"SN","Saat membaca buku atau menonton film, saya lebih fokus pada alur cerita dan kejadian daripada makna simbolis yang tersembunyi.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"SN","Saya lebih suka menerima informasi dalam bentuk penjelasan yang jelas dan langsung daripada yang penuh kemungkinan dan koneksi abstrak.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"SN","Saat mengambil keputusan, saya lebih mengandalkan pengalaman masa lalu dan metode yang sudah terbukti daripada mencari solusi kreatif dan inovatif.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
