name,field,subcategory,mbti
"""Khaotung"" Thanawat Ratanakitpaisan",Entertainment,Aktor/Aktres,INFP
"""Man"" Trisanu Soranun",Entertainment,Aktor/Aktres,ENFP
"""PP"" Krit Amnuaydechkorn",Entertainment,Aktor/Aktres,ESTP
A. J. Holmes,Entertainment,Aktor/Aktres,INFJ
A.J. Cook,Entertainment,Aktor/Aktres,ESFJ
Aamina Sheikh,Entertainment,Aktor/Aktres,ISTJ
Aamir Khan,Entertainment,Aktor/Aktres,INFJ
Aamir Liaquat Hussain,Entertainment,Aktor/Aktres,ENFJ
Aaron Altaras,Entertainment,Aktor/Aktres,ENFJ
Aaron Bleyaert,Entertainment,Film & TV Crew,ENFP
Aaron Dismuke,Entertainment,Pengisi Suara,ISFJ
Aaron Eckhart,Entertainment,Aktor/Aktres,ENFP
Aaron Kwok,Entertainment,Aktor/Aktres,ESFP
Aaron Paul,Entertainment,Aktor/Aktres,ESFP
Aaron Sorkin,Entertainment,Sutradara Film,INTJ
Aaron Spelling,Entertainment,Film & TV Crew,INFJ
Aaron Taylor-Johnson,Entertainment,Aktor/Aktres,INFJ
Aaron Tveit,Entertainment,Aktor/Aktres,ESFJ
Abbas Kiarostami,Entertainment,Sutradara Film,INTP
Abbas Mowzoon,Entertainment,Film & TV Crew,INFJ
Abbi Jacobson,Entertainment,Aktor/Aktres,ENFP
Abby Huntsman,Entertainment,Pembawa Acara,ESFJ
Abby Lee Miller,Entertainment,Pembawa Acara,ESTJ
Abby Trott,Entertainment,Pengisi Suara,ESFP
Abdolreza Kahani,Entertainment,Sutradara Film,INTP
"AbdRahman Lamri ""Gotze""",Entertainment,Aktor/Aktres,ESTP
Abe Hiroshi,Entertainment,Aktor/Aktres,INTP
Abe Sadao,Entertainment,Aktor/Aktres,INFJ
Abel Ferarra,Entertainment,Sutradara Film,ISTP
Abel Gance,Entertainment,Sutradara Film,INFJ
Abelard Giza,Entertainment,Komedian,ENTP
Abhishek Upmanyu,Entertainment,Komedian,ENTP
Abigail “Abbey” Cowen,Entertainment,Aktor/Aktres,ENFP
Abigail Breslin,Entertainment,Aktor/Aktres,ISFJ
Abimana Aryasatya,Entertainment,Aktor/Aktres,INFP
Abner Henrique,Entertainment,Komedian,INTP
Abubakar Salim,Entertainment,Aktor/Aktres,INFJ
